2023-10-11 14:02:19.066 [main] INFO  org.example.Main - @|green hello|@
2023-10-11 14:02:20.251 [main] WARN  org.example.utils.DirectoryManager - Destination directory cleaned at C:\Users\llangowski\Documents\extraction
2023-10-11 14:02:20.509 [main] INFO  org.example.Main - Connected to Alfresco through http://localhost:8080/alfresco/api/-default-/public/cmis/versions/1.1/browser
2023-10-11 14:02:20.545 [main] WARN  org.example.Main - Extraction started
2023-10-11 14:02:20.585 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\file.txt
2023-10-11 14:02:20.588 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.625 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:20.627 [main] INFO  org.example.utils.Extractor - JSON file created : file.txt_properties.json
2023-10-11 14:02:20.636 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : file.txt
2023-10-11 14:02:20.636 [main] INFO  org.example.utils.Extractor - Metadata added to file : file.txt
2023-10-11 14:02:20.652 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Shared
2023-10-11 14:02:20.654 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.654 [main] INFO  org.example.utils.Extractor - JSON file created : Shared_properties.json
2023-10-11 14:02:20.655 [main] INFO  org.example.utils.Extractor - Metadata added to directory : Shared
2023-10-11 14:02:20.670 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Imap Attachments
2023-10-11 14:02:20.671 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.671 [main] INFO  org.example.utils.Extractor - JSON file created : Imap Attachments_properties.json
2023-10-11 14:02:20.672 [main] INFO  org.example.utils.Extractor - Metadata added to directory : Imap Attachments
2023-10-11 14:02:20.687 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Guest Home
2023-10-11 14:02:20.688 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.688 [main] INFO  org.example.utils.Extractor - JSON file created : Guest Home_properties.json
2023-10-11 14:02:20.688 [main] INFO  org.example.utils.Extractor - Metadata added to directory : Guest Home
2023-10-11 14:02:20.703 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\User Homes
2023-10-11 14:02:20.704 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.705 [main] INFO  org.example.utils.Extractor - JSON file created : User Homes_properties.json
2023-10-11 14:02:20.705 [main] INFO  org.example.utils.Extractor - Metadata added to directory : User Homes
2023-10-11 14:02:20.721 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Sites
2023-10-11 14:02:20.721 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.722 [main] INFO  org.example.utils.Extractor - JSON file created : Sites_properties.json
2023-10-11 14:02:20.722 [main] INFO  org.example.utils.Extractor - Metadata added to directory : Sites
2023-10-11 14:02:20.765 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Sites\swsdp
2023-10-11 14:02:20.766 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.767 [main] INFO  org.example.utils.Extractor - JSON file created : swsdp_properties.json
2023-10-11 14:02:20.768 [main] INFO  org.example.utils.Extractor - Metadata added to directory : swsdp
2023-10-11 14:02:20.810 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki
2023-10-11 14:02:20.811 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.812 [main] INFO  org.example.utils.Extractor - JSON file created : wiki_properties.json
2023-10-11 14:02:20.812 [main] INFO  org.example.utils.Extractor - Metadata added to directory : wiki
2023-10-11 14:02:20.837 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki\Milestones
2023-10-11 14:02:20.838 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.862 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:20.863 [main] INFO  org.example.utils.Extractor - JSON file created : Milestones_properties.json
2023-10-11 14:02:20.871 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : Milestones
2023-10-11 14:02:20.871 [main] INFO  org.example.utils.Extractor - Metadata added to file : Milestones
2023-10-11 14:02:20.879 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki\Meetings
2023-10-11 14:02:20.880 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.892 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:20.893 [main] INFO  org.example.utils.Extractor - JSON file created : Meetings_properties.json
2023-10-11 14:02:20.901 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : Meetings
2023-10-11 14:02:20.901 [main] INFO  org.example.utils.Extractor - Metadata added to file : Meetings
2023-10-11 14:02:20.908 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki\Main_Page
2023-10-11 14:02:20.908 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.921 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:20.922 [main] INFO  org.example.utils.Extractor - JSON file created : Main_Page_properties.json
2023-10-11 14:02:20.931 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : Main_Page
2023-10-11 14:02:20.931 [main] INFO  org.example.utils.Extractor - Metadata added to file : Main_Page
2023-10-11 14:02:20.950 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki\Milestones
2023-10-11 14:02:20.951 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.963 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:20.964 [main] INFO  org.example.utils.Extractor - JSON file created : Milestones_properties.json
2023-10-11 14:02:20.973 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : Milestones
2023-10-11 14:02:20.973 [main] INFO  org.example.utils.Extractor - Metadata added to file : Milestones
2023-10-11 14:02:20.980 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki\Meetings
2023-10-11 14:02:20.980 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:20.993 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:20.994 [main] INFO  org.example.utils.Extractor - JSON file created : Meetings_properties.json
2023-10-11 14:02:21.007 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : Meetings
2023-10-11 14:02:21.008 [main] INFO  org.example.utils.Extractor - Metadata added to file : Meetings
2023-10-11 14:02:21.015 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\wiki\Main_Page
2023-10-11 14:02:21.016 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:21.030 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:21.031 [main] INFO  org.example.utils.Extractor - JSON file created : Main_Page_properties.json
2023-10-11 14:02:21.039 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : Main_Page
2023-10-11 14:02:21.040 [main] INFO  org.example.utils.Extractor - Metadata added to file : Main_Page
2023-10-11 14:02:21.053 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\discussions
2023-10-11 14:02:21.054 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:21.054 [main] INFO  org.example.utils.Extractor - JSON file created : discussions_properties.json
2023-10-11 14:02:21.055 [main] INFO  org.example.utils.Extractor - Metadata added to directory : discussions
2023-10-11 14:02:21.090 [main] INFO  org.example.utils.Extractor - Directory created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\discussions\post-1297807546884_964
2023-10-11 14:02:21.091 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:21.091 [main] INFO  org.example.utils.Extractor - JSON file created : post-1297807546884_964_properties.json
2023-10-11 14:02:21.092 [main] INFO  org.example.utils.Extractor - Metadata added to directory : post-1297807546884_964
2023-10-11 14:02:21.126 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\discussions\post-1297807546884_964\post-1297807546884_964
2023-10-11 14:02:21.128 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:21.153 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:21.154 [main] INFO  org.example.utils.Extractor - JSON file created : post-1297807546884_964_properties.json
2023-10-11 14:02:21.164 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : post-1297807546884_964
2023-10-11 14:02:21.164 [main] INFO  org.example.utils.Extractor - Metadata added to file : post-1297807546884_964
2023-10-11 14:02:21.171 [main] INFO  org.example.utils.Extractor - File created : C:\Users\llangowski\Documents\extraction\Sites\swsdp\discussions\post-1297807546884_964\post-1297807767790_183
2023-10-11 14:02:21.172 [main] INFO  org.example.utils.JsonCreator - Properties inserted in JSON File
2023-10-11 14:02:21.188 [main] INFO  org.example.utils.JsonCreator - Permissions inserted in JSON File
2023-10-11 14:02:21.189 [main] INFO  org.example.utils.Extractor - JSON file created : post-1297807767790_183_properties.json
2023-10-11 14:02:21.197 [main] INFO  org.example.utils.Extractor - Data stream inserted into file : post-1297807767790_183
